,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
39,1,-0.6812615791956583,0.0020161281954997425,-0.7306845188140869,0.002590869546494623,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,169.19060866038004
48,2,-0.6803805232048035,0.0008392297634493972,-0.7354417244593302,0.0031035654834308344,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,172.12286369005838
54,3,-0.6797637740770975,0.001799702907774922,-0.7336358825365702,0.002470493386795683,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,5,258.8667159875234
57,4,-0.6792792677879333,0.0018869243377810914,-0.7413003842035929,0.0021122605849811515,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,168.52187021573386
66,5,-0.6787507136662801,0.0011548824669946937,-0.7402211825052897,0.0019612189078103523,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,3,172.48121317227682
42,6,-0.6785305937131246,0.001475660808483672,-0.7048498392105103,0.0019716651410668076,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,1823.6167939503987
51,7,-0.6782662669817606,0.003659654593049996,-0.7055766979853312,0.0034634170741610405,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,1800.1795429388683
63,8,-0.6778698960940043,0.0028014802863882337,-0.7320059537887573,0.0013619252491956153,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,5,272.2236183484395
69,9,-0.6778257687886556,0.0005512102507190963,-0.7060391704241434,0.001493351432426537,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,26,1801.9096515973408
45,10,-0.6774734258651733,0.0019232644728612346,-0.7263896862665812,0.0030255034076632544,relu,256,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,269.01909653345746
6,11,-0.6772971947987875,0.0006889536029616263,-0.7082416216532389,0.002213277484113951,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,26,2006.5875924428303
36,12,-0.6771648724873861,0.002459979823940756,-0.7256629665692648,0.004053875879458681,relu,256,20,256,128,64,0.5,0.5,0.0001,0.3,32,5,258.1806433200836
60,13,-0.6771210233370463,0.0017034744713350768,-0.7039908170700073,0.0018916219058232946,relu,256,20,256,128,64,0.5,0.3,0.0001,0.3,32,26,1818.0117570559185
21,14,-0.6770767966906229,0.0021335870260381392,-0.7611442804336548,0.004297584804402435,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,3,188.6785933971405
15,15,-0.6766805450121561,0.0024849571434413177,-0.709254781405131,0.0030451457853069193,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,26,1825.6662845611572
9,16,-0.6762840350468954,0.00026995985411413755,-0.7471367120742798,0.005713433439454837,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,5,299.92974432309467
3,17,-0.6762839555740356,0.0011221952779022022,-0.7565631866455078,0.0041145040576853606,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,3,308.03446165720624
12,18,-0.6761959393819174,0.002599772941386429,-0.7595146298408508,0.0024900810825182916,relu,128,20,256,128,64,0.5,0.5,0.0001,0.1,32,3,187.92067090670267
24,19,-0.675755520661672,0.0022966166524467143,-0.7093426783879598,0.0037200915919581496,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,26,1860.2154841423035
33,20,-0.6756235361099243,0.004448581307952901,-0.7078230977058411,0.0003697997953323737,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,26,1814.5052134195964
0,21,-0.67518283923467,0.002073943694805633,-0.746828575929006,0.004096148074773327,relu,128,20,256,128,64,0.5,0.5,0.0001,0.3,32,5,541.8742660681406
27,22,-0.6748303572336832,0.0011511781532103388,-0.7538543144861857,0.0006362032971770348,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,5,291.7098956108093
30,23,-0.6745220025380453,0.002011631807321633,-0.7656815846761068,0.00599301768007709,relu,128,20,256,128,64,0.5,0.3,0.0001,0.1,32,3,182.82568232218424
18,24,-0.6720110575358073,0.003478053221539345,-0.7505725820859274,0.004213913048398439,relu,128,20,256,128,64,0.5,0.3,0.0001,0.3,32,5,295.7729429403941
59,25,-0.6684873501459757,0.00307523620589002,-0.7523784438769022,0.006481946875930483,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,3,150.59558367729187
71,26,-0.6680028041203817,0.0018400990971940284,-0.738569458325704,0.006229892111947417,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,26,1671.184420665105
35,27,-0.6672980388005575,0.0018572303741154425,-0.7207735180854797,0.0027785611330097006,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,26,2949.9301035404205
52,28,-0.66694575548172,0.0021082601003656895,-0.7642941077550253,0.006516949739404144,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,26,1809.5789328416188
2,29,-0.6666813691457113,0.0019556350630221793,-0.7120957573254904,0.006798432582848306,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,5,608.509911775589
65,30,-0.6661969025929769,0.0029798652837593953,-0.7575105230013529,0.00556027718234442,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,5,284.8137403329213
43,31,-0.6657564441363016,0.0022289612615303215,-0.7637212077776591,0.0018793369371266184,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,26,1802.466779311498
56,32,-0.6655360062917074,0.002558826704303104,-0.7455071409543356,0.008518384812340008,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,5,286.5139832496643
14,33,-0.6647435228029887,0.005327270034573653,-0.7153328657150269,0.01917103330883094,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,3,179.7286249001821
47,34,-0.6647434631983439,0.0076630915108149115,-0.7438989281654358,0.009221464866012708,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,5,284.18181681632996
29,35,-0.6647429863611857,0.006654718014387444,-0.7207954128583273,0.00800356872589183,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,5,295.5840547879537
62,36,-0.6644789775212606,0.0013985268601197627,-0.7313233415285746,0.005286531075744431,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,26,2939.527059237162
53,37,-0.6637301047643026,0.004127990914527898,-0.7351557612419128,0.009569780518130351,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,26,2944.92763876915
46,38,-0.6637298464775085,0.0036146544873124618,-0.7895560065905253,0.0018280344769784742,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,5,282.29174613952637
41,39,-0.6636417706807455,0.006053213073057544,-0.7332617441813151,0.01364719148950325,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,3,147.783833583196
16,40,-0.6635099053382874,0.004522122036791121,-0.767355223496755,0.003514320545183486,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,26,1830.5939125219982
20,41,-0.6632012327512106,0.004150362245910075,-0.7171395421028137,0.00393329809732151,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,5,297.6564945379893
70,42,-0.6630695462226868,0.003758517408748566,-0.7685446540514628,0.0028523161357463644,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,26,1782.4324804147084
38,43,-0.6630252202351888,0.002918133092616121,-0.7422695557276408,0.00566307076090663,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,5,289.32487122217816
40,44,-0.6629812320073446,0.0007564386311683721,-0.7924412290255228,0.001288808669517448,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,3,175.64555780092874
50,45,-0.6628931760787964,0.0025089771690733585,-0.748480478922526,0.008396201764931954,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,3,159.7828002770742
7,46,-0.6619681318600973,0.0011179506773614778,-0.7662981152534485,0.0017908204145407273,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,26,1844.0470136801403
31,47,-0.661967913309733,0.0030130025306275613,-0.7921109000841776,0.0027370327926866766,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,3,185.0558880964915
67,48,-0.6618800560633341,0.0008779534768496216,-0.7915822664896647,0.0010134932491657961,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,3,175.58800848325095
58,49,-0.6617478529612223,0.004585852707309317,-0.7943133314450582,0.002033105704496863,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,3,174.2224428653717
23,50,-0.6616156697273254,0.002229580633864281,-0.7125142415364584,0.0024480335208056586,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,3,179.28764017422995
44,51,-0.6614838242530823,0.004127389915390182,-0.7264776825904846,0.005442489371755482,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,26,2935.0736627578735
13,52,-0.6612633864084879,0.0018068378255245777,-0.7927936315536499,0.0016993354896508621,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,3,186.33705671628317
19,53,-0.6611311634381613,0.0017963956208678171,-0.7892036437988281,0.0014306072585503135,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,5,299.4316303730011
37,54,-0.6610870361328125,0.0035234991942423985,-0.7893357475598654,0.0008062354752241306,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,5,283.7380696932475
68,55,-0.6609992583592733,0.00348770042103594,-0.7651308377583822,0.002697497538651092,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,3,157.93468912442526
32,56,-0.6608666777610779,0.0049995551324596346,-0.7297815481821696,0.0049846369126567295,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,3,168.39119664827982
28,57,-0.6604264378547668,0.0028457507499950884,-0.7892476717631022,0.0019035130427831981,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,5,302.2985535462697
11,58,-0.6603382428487142,0.00921510231694151,-0.7116992870966593,0.012798638957961777,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,5,296.05277999242145
25,59,-0.6602504253387451,0.004460074148047855,-0.7687868674596151,0.0033700549467233303,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,26,1856.1005856990814
34,60,-0.6602503856023153,0.0037049680628557075,-0.7660780946413676,0.006645531922968212,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,26,1829.359198172887
64,61,-0.660206119219462,0.002191545118246443,-0.7905691663424174,0.0027124197238168096,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,5,283.484806617101
22,62,-0.6599417924880981,0.0009998847385105619,-0.7918906211853027,0.0008727561298793658,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,3,185.82906913757324
61,63,-0.6597216129302979,0.0011984224990309715,-0.7639635801315308,0.002249841727409283,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,26,1799.9279728730519
10,64,-0.6597214539845785,0.0036230853505691218,-0.789401908715566,0.0028668931264521874,relu,128,20,256,128,64,0.5,0.5,0.001,0.1,32,5,300.6882281303406
49,65,-0.6596774458885193,0.00381578432025906,-0.7931239803632101,0.0008414814919000937,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,3,173.4763057231903
1,66,-0.6591488321622213,0.0022955158535959913,-0.7914721568425497,0.0012389696421807696,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,5,535.6417409578959
55,67,-0.6587968071301779,0.0034700897097138575,-0.7903929750124613,0.002283426113400819,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,5,281.6357340812683
4,68,-0.6587963898976644,0.0030592028156042213,-0.792154848575592,0.001347338242930316,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,3,308.30898292859393
26,69,-0.6576074759165446,0.0037753360088158797,-0.7001365423202515,0.00296302951019249,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,26,3026.0513364473977
8,70,-0.6563735206921896,0.008924813107087221,-0.6934412519137064,0.004813703515232156,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,26,3037.3460965156555
17,71,-0.6563295324643453,0.010042307714264806,-0.6898733774820963,0.012946384139227789,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,26,3053.413820664088
5,72,-0.6487965981165568,0.016257833612291998,-0.6763944427172343,0.014399580964996963,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,3,195.84502998987833
