,criterion,n_estimators,max_depth,bootstrap,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
59,entropy,100,,False,-0.7651749317559936,0.0015015769855111943,-1.0,0.0,1,514.3551688194275
58,entropy,50,,False,-0.7635891450982452,0.001810687948044651,-1.0,0.0,2,280.34663645426434
44,gini,100,,False,-0.7601093783017819,0.0026355606943694676,-1.0,0.0,3,557.8266807397207
57,entropy,25,,False,-0.7599771324022663,0.002138390216573239,-1.0,0.0,4,139.11178906758627
43,gini,50,,False,-0.7581711202335947,0.0028580135875417184,-1.0,0.0,5,276.29385209083557
42,gini,25,,False,-0.7553959586584417,0.0007216185942002057,-1.0,0.0,6,138.3719957669576
29,entropy,100,,True,-0.7536781647491476,0.0031007524472443835,-1.0,0.0,7,322.1698096593221
28,entropy,50,,True,-0.750065919225881,0.002476687587875401,-0.9993833147299315,3.113739109011496e-05,8,161.5551495552063
14,gini,100,,True,-0.7486123551849194,0.002154458485940139,-0.999933926526233,2.0580578827054537e-09,9,330.4394911924998
27,entropy,25,,True,-0.7474671010385681,0.0049288201727137005,-0.9974671956328262,0.00039759333487373525,10,80.45726521809895
13,gini,50,,True,-0.7461897290477094,0.0037623540665553718,-0.9996035620679322,9.343171242467658e-05,11,164.60478822390237
12,gini,25,,True,-0.7437670388829952,0.0006132374234473513,-0.9970046623979911,0.0006322434057871915,12,83.1113018989563
39,gini,25,10,False,-0.5814460469791451,0.008620522355417342,-0.5856976141790243,0.010702401353292094,13,2.6001036167144775
54,entropy,25,10,False,-0.5768211657327033,0.004452706332860054,-0.5788257837226004,0.0046624227771742185,14,2.6212578614552817
24,entropy,25,10,True,-0.5705227510443933,0.005321405752411149,-0.571227069380873,0.004390914731741221,15,1.7559466361999512
40,gini,50,10,False,-0.5679237465952501,0.006140088774565555,-0.5688044199709333,0.0053402794850841715,16,5.174265146255493
55,entropy,50,10,False,-0.567703462877505,0.006288043510895135,-0.5686062330207667,0.005672963767688527,17,5.160194635391235
9,gini,25,10,True,-0.5655008410652947,0.0007044983321928404,-0.5674830130720641,0.0013852081934692053,18,1.7242359320322673
10,gini,50,10,True,-0.5629019530297955,0.0007615644836294818,-0.5636507792436534,0.0007014501907069335,19,3.4237998326619468
6,gini,25,5,True,-0.5624614321597627,0.0005891458155217622,-0.5627918357268178,0.000694165044953107,20,0.8795458475748698
25,entropy,50,10,True,-0.5624173812368959,0.0005094373454860515,-0.5635186526698533,0.0006949930184702042,21,3.5329808394114175
26,entropy,100,10,True,-0.5622852924957996,0.0009524355404088569,-0.5626376473099169,0.000909143599850078,22,7.00204078356425
56,entropy,100,10,False,-0.5621531106237881,0.00017207399972570602,-0.5627477789828842,0.00044561949474734283,23,10.321947971979776
11,gini,100,10,True,-0.5621090771629679,0.0008314426092708714,-0.562505491630783,0.0007754817391443549,24,6.850442568461101
41,gini,100,10,False,-0.5619328152646785,0.0009091698353675573,-0.5624394545386835,0.0007351589001581744,25,10.384456872940063
36,gini,25,5,False,-0.5618447250603092,0.0007610603434270809,-0.5617787081588813,0.00034621989504342554,26,1.2959847450256348
18,entropy,25,3,True,-0.5614483482440585,0.0006097613499173532,-0.5614703487882802,0.0004275815637172074,27,0.5711863040924072
33,gini,25,3,False,-0.5614042973211917,0.0003003361991714834,-0.5616245139209138,0.0006519747976578314,28,0.7974814573923746
21,entropy,25,5,True,-0.5614042682177806,0.0002141967457783221,-0.5616685881280478,0.0004148146778763102,29,0.8908403714497884
48,entropy,25,3,False,-0.5613161954754581,0.00033035258666794915,-0.561228086175713,0.00010930212592182522,30,0.8021380106608073
52,entropy,50,5,False,-0.5612280878090421,0.00011342443683881308,-0.5612280890862463,0.00012334805264279462,31,2.6152950127919516
51,entropy,25,5,False,-0.5611840368861752,5.4085594180610063e-05,-0.5615364266278471,0.0001477676959548673,32,1.3232004642486572
8,gini,100,5,True,-0.5611399917839907,8.532288965361129e-05,-0.5610959377729126,8.604381225409028e-05,33,3.536051114400228
38,gini,100,5,False,-0.5611399859633085,0.00011131144675069824,-0.5610518897605791,2.7040738285868128e-05,34,5.179416100184123
30,gini,25,2,False,-0.5610959408611239,3.4951745996494095e-05,-0.5610518897605791,2.7040738285868128e-05,35,0.5638991196950277
22,entropy,50,5,True,-0.5610959408611239,3.4951745996494095e-05,-0.5611179632343459,8.094375535059227e-05,35,1.7763673464457195
34,gini,50,3,False,-0.5610959408611239,3.4951745996494095e-05,-0.5611179617790792,7.013575055362415e-05,35,1.5946338176727295
50,entropy,100,3,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,3.233102877934774
49,entropy,50,3,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.6169439156850178
47,entropy,100,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.245206276575724
53,entropy,100,5,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,5.212398687998454
1,gini,50,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.8534998893737793
46,entropy,50,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.1260277430216472
45,entropy,25,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.572912851969401
7,gini,50,5,True,-0.5610518899382569,5.4085014738265216e-05,-0.5611179617790792,0.00011683341458287888,38,1.7780408064524333
3,gini,25,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.578348716100057
4,gini,50,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.1393219629923503
37,gini,50,5,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610739137667459,5.565299526411067e-05,38,2.5755741596221924
35,gini,100,3,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,3.1984119415283203
32,gini,100,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.218907038370768
31,gini,50,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.0984400113423665
5,gini,100,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.2463916142781577
23,entropy,100,5,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,3.6029730637868247
20,entropy,100,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.283440113067627
19,entropy,50,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.1456327438354492
17,entropy,100,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.649263858795166
16,entropy,50,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.8324206670125326
15,entropy,25,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.42645780245463055
2,gini,100,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.6540183226267497
0,gini,25,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.561139985785246,0.00010097236724140945,38,0.4461939334869385
